NGRAM,VALUE,
 ,0.012292919429168594
 die,0.00482688321255418
 das,0.003222918915214747
die ,0.0029308218122012643
 ist,0.002876428363399633
 und,0.002803189940210036
ist ,0.0026233060937794453
 dass,0.002607887478371109
der ,0.0025145191961761836
 es,0.002480683901252334
 der,0.0024656935807164516
und ,0.002326069452296517
 wir,0.0022849531445409536
nicht ,0.0021765945418101454
 Sie,0.0021718832982131537
das ,0.0019247571568073187
 in,0.0018078326566274348
— ,0.0017709992975964092
zu ,0.0017465864898665432
 —,0.0016390844768806427
 auch,0.0015568518613695156
 Das,0.0015551386818797005
 nicht,0.0014583440407051446
 ich,0.0014309331688681023
es ,0.0013902451559849925
in ,0.0013851056175155471
auch ,0.0012660396429733944
haben ,0.0011760977197580991
 haben,0.0011636771684569393
Sie ,0.0011187062068492915
 Herr,0.0010990046427164174
 Ich,0.0010942933991194257
wir ,0.00106988059138956
den ,0.0009885045656233403
ein ,0.0009456750783779617
 zu,0.0009435336040156927
ich ,0.0009353960014390708
 aber,0.0009323979373318942
 den,0.0009212622706480958
 ein,0.0009161227321786504
sind ,0.0009084134244744822
 eine,0.0008994192321529526
 was,0.0008822874372548012
von ,0.0008822874372548012
werden ,0.0008758630141679944
eine ,0.0008754347192955406
 man,0.0008750064244230868
hat ,0.0008600161038872043
 sich,0.0008411711294992377
 Es,0.0008107621935550187
 Wir,0.0008107621935550187
 sind,0.0007914889242945983
im ,0.0007867776806976067
 im,0.0007790683729934385
 hat,0.0007657912319473711
 wenn,0.0007508009114114886
wird ,0.0007255315139367152
 dann,0.0007225334498295387
in der,0.0006972640523547652
Herr ,0.0006959791677374038
 für,0.0006934093985026811
 von,0.0006809888472015213
 mit,0.00067970396258416
für ,0.0006788473728392524
 Die,0.0006749927189871683
 wie,0.0006749927189871683
und die,0.000671566360007538
 Und,0.0006505799112573025
 jetzt,0.000627451988144798
 da,0.0006210275650579911
die die,0.0006094636035017389
 sie,0.0006073221291394699
die und,0.0005966147573281253
auf ,0.0005897620393688647
mit ,0.0005897620393688647
 diese,0.0005734868342156207
die der,0.0005734868342156207
Das ist,0.0005692038854910829
das ist,0.0005623511675318223
so ,0.0005584965136797382
 wird,0.0005563550393174693
noch ,0.0005259461033732504
Das ,0.0005255178085007967
 ja,0.0005233763341385277
 werden,0.000518665090541536
schon ,0.0005160953213068133
 auf,0.000514810436689452
dass die,0.0005019615905158384
 um,0.0004976786417913004
und das,0.0004891127443422248
 hier,0.00047497901355124974
 so,0.00047455071867879596
