NGRAM,VALUE,
  ,0.00124633807884052
 Herr ,0.00045656233403573693
 Das ist,0.0003917470433377305
 — ,0.00036262299201087297
 die ,0.00031608161587089477
 dass die,0.0002861009747991297
  die,0.00028324567564943777
 das ist,0.00026497176109140954
 ist ,0.0002558348038123954
  Herr,0.00022985158155019902
 das ,0.00022842393197535307
—  ,0.0002267107524855379
die  die,0.00021785932512149298
 Herr Präsident,0.00020529600886284857
 Ich ,0.00020301176954309503
 und ,0.00019615905158383443
 Frau ,0.00019216163277426576
 dass wir,0.00019216163277426576
 dass es,0.0001913050430293582
 Sie ,0.00018816421396469708
  das,0.00018787868404972788
  dass,0.00018045490626052892
— Danke ,0.00017845619685574458
 Präsident ,0.00017702854728089863
  und,0.00017617195753599104
 Millionen ,0.00016874817974679208
 ich ,0.00016703500025697692
 Das ,0.00016246652161746987
in der ,0.00016218099170250066
 dass das,0.00016189546178753148
Damen und Herren,0.0001584691028079012
 in der,0.00015732698314802442
 Wir haben,0.00015675592331808604
ist  dass,0.00015561380365820926
  —,0.0001473334361241027
 Damen und,0.00014704790620913353
 Sie haben,0.00014704790620913353
 dass ,0.00014590578654925676
 Es ist,0.0001450491968043492
 Danke ,0.00014247942756962648
 und das,0.0001413373079097497
und Herren ,0.0001347701198654583
Das ist ,0.00013391353012055072
Damen Herren ,0.00013334247029061236
das ist ,0.00013334247029061236
 Milliarden ,0.00012905952156607448
Damen und ,0.00012877399165110527
 der ,0.00012677528224632094
  Sie,0.000125347632671475
 die in,0.000125347632671475
 ist ein,0.0001250621027565058
Herr Präsident ,0.00012135021386190632
 zu ,0.00012049362411699874
 dass der,0.00011963703437209116
 ist das,0.00011820938479724521
 ist die,0.00011706726513736844
 glaube ,0.00011563961556252249
 gibt es,0.00011392643607270734
  ist,0.00011364090615773815
ist  ,0.00011364090615773815
  Das,0.00011249878649786138
 Herr Minister,0.00011192772666792299
 es ist,0.00011192772666792299
 Ja ,0.00011135666683798462
 wir ,0.00011050007709307704
 die der,0.0001085013676882927
in Österreich ,0.0001085013676882927
 und Herren,0.00010793030785835432
 dass in,0.00010764477794338513
 nicht ,0.00010764477794338513
 Damen Herren,0.00010735924802841593
  der,0.00010678818819847755
 Frau Präsidentin,0.00010678818819847755
von  ,0.00010621712836853918
 ist es,0.00010593159845356998
Herr Minister ,0.0001050750087086624
  es,0.00010478947879369321
 Sie sich,0.00010307629930387807
 wir uns,0.00010279076938890888
  Frau,0.00010250523947393968
 ist eine,0.00010221970955897049
 dass Sie,0.00010107758989909373
 und die,9.964994032424777e-05
die  ,9.87933505793402e-05
 haben wir,9.850782066437101e-05
Danke  ,9.736570100449424e-05
 Präsidentin ,9.708017108952505e-05
nicht  dass,9.679464117455585e-05
 — Danke,9.622358134461748e-05
 Sehr geehrte,9.53669915997099e-05
 Meine Damen,9.422487193983313e-05
der  die,9.393934202486394e-05
 Minister ,9.365381210989476e-05
 das nicht,9.308275227995637e-05
für die ,9.279722236498718e-05
 es ,9.251169245001799e-05
 für die,9.22261625350488e-05
 die die,9.19406326200796e-05
ist  die,9.165510270511041e-05
  wir,9.051298304523365e-05
 aber auch,9.051298304523365e-05
Meine Damen und,8.965639330032607e-05
  Präsident,8.937086338535688e-05
 und ist,8.908533347038769e-05
