WORD,RANK,
, dass,5390
, die,4392
, und,2628
. Das,2461
, das,2063
. Ich,1614
, wenn,1354
in der,1348
ist ,,1320
, was,1320
. Wir,1252
Das ist,1242
, aber,1224
, wie,1202
. Es,1199
, der,1153
Damen und,1115
und Herren,1115
das ist,1059
, dann,1038
. Und,1028
. —,1011
haben ,,994
für die,938
. Die,901
— ,,862
in den,861
, weil,825
hat ,,775
, sondern,770
, denn,738
in Österreich,734
, wo,717
, in,709
ist .,703
. Sie,689
. Da,683
dass die,668
, es,668
? —,657
und die,654
sind ,,649
, ist,621
und das,621
Herr Präsident,613
von der,604
, um,603
Wir haben,599
Präsident !,595
. Aber,590
dass es,590
dass wir,589
— und,585
werden .,569
, Herr,569
in diesem,566
, wir,552
haben .,540
. Wenn,538
wird ,,537
werden ,,528
Herr Bundesminister,526
sagen ,,522
gibt es,497
Es ist,492
! Herr,483
, auch,482
, nämlich,481
auch die,476
Sie haben,474
wird .,464
sehr geehrten,463
geehrten Damen,459
ist es,453
auf die,448
dass man,442
bei der,442
, da,441
nicht mehr,434
haben wir,433
nicht ,,433
, den,429
Herren !,423
Herren ,,420
, Sie,419
mit der,419
, ich,406
! —,396
sind .,393
in die,389
ist das,384
mit dem,383
, als,381
hat .,379
und auch,377
. Der,376
dass Sie,375
sein ,,375
, ob,370
Meine sehr,364
: ``,363
wenn man,361
dass das,358
gesagt ,,351
bei den,348
es ist,346
, mit,343
ist ein,337
, meine,337
ist die,336
auf der,335
! Ich,334
. In,333
Herr Minister,332
— das,327
! Das,326
Hohes Haus,319
Haus !,319
um die,318
über die,311
nicht nur,311
muss man,308
und der,308
Ja ,,308
auch in,304
ist eine,303
! Hohes,303
man sich,301
Bundesminister !,298
glaube ,,295
heißt ,,293
mit den,290
Sie ,,289
— Das,288
können .,287
sagen :,286
. Was,286
aber auch,285
von den,284
Millionen $,284
Sehr geehrte,283
, eine,283
Sie sich,283
aus dem,282
. Meine,280
haben Sie,278
wir haben,276
wenn es,276
, nicht,275
, damit,274
Sehr geehrter,273
. Man,273
geehrter Herr,272
! Sehr,271
immer wieder,271
vor allem,271
es nicht,271
geht es,266
, so,266
wir uns,265
gar nicht,264
Das heißt,263
Bundesminister ,,262
kann man,261
und nicht,261
Es gibt,261
ist ja,261
das ,,260
auch nicht,259
das nicht,258
Frau Präsidentin,257
zum Beispiel,255
Kolleginnen und,254
und Kollegen,254
ein bisschen,252
für den,251
den letzten,251
Präsidentin !,249
! Meine,249
auch noch,248
wenn Sie,243
— ich,239
Ich habe,239
in dieser,237
, warum,235
an die,234
, ein,233
, diese,232
Herr Kollege,232
, von,232
können ,,231
Ich glaube,230
. Herr,229
Milliarden $,226
und ich,225
wissen ,,225
: Wir,224
. Also,224
ist der,223
: Die,220
in einer,218
es auch,217
— Danke,217
! Wir,216
auf den,216
, zu,216
nicht .,215
die wir,215
sich die,215
dass sie,214
noch einmal,214
in einem,213
natürlich auch,211
ist auch,211
! Es,211
Minister !,211
geht ,,210
es um,210
kann .,209
und es,209
aus der,209
ist nicht,208
: Es,208
, für,208
Das sind,206
, im,205
gibt ,,205
machen ,,204
. Diese,203
. Auch,203
, also,199
, bei,198
möchte ich,198
der ÖVP,198
wurde ,,197
, Frau,197
sein .,196
kann ,,195
dass der,194
Sie das,194
. Jetzt,194
und da,193
ja ,,192
meine sehr,191
! Frau,190
der Herr,188
im Ausschuss,187
und wir,187
ich ,,187
Ich möchte,185
sind die,184
zu tun,184
000 $,183
Ich sage,182
wollen ,,182
man das,182
im Bereich,181
es in,181
im Jahr,180
es gibt,180
durch die,180
die Sie,180
, auf,179
an den,178
der Bevölkerung,178
nicht in,178
an der,177
nicht so,177
und dann,175
. Im,174
aber nicht,174
nicht einmal,174
Wenn man,173
hier im,173
die sich,173
: Das,172
ja auch,172
auch der,172
und zwar,171
werden wir,170
das sind,169
— :,169
so ,,168
. Ein,167
habe ich,166
die Frage,166
wie es,166
nicht die,165
hat es,164
und in,164
wir das,164
auch eine,163
auch ,,163
wenn wir,163
wir die,161
und so,161
Es geht,161
Danke .,161
was Sie,160
, sich,159
