NGRAM,VALUE,
 ,0.01299581072000424
 die,0.004747045131033881
 das,0.0029860508045693865
die ,0.0027849279465668015
 ist,0.002689043793333011
 und,0.0026064119214404763
 der,0.002521051638683565
der ,0.0025003936707104313
 dass,0.002447774318326034
und ,0.0024068481553603917
ist ,0.002379174273736005
 es,0.0022618526065678306
 Sie,0.002243533276478448
nicht ,0.0020985377276858865
 wir,0.001990570612052716
 in,0.0018323227819188991
zu ,0.0018241375493257706
das ,0.0017878886621276303
— ,0.0015380441815468998
 —,0.0015310282678956469
 Das,0.0015014055213681344
 auch,0.0014616486773443675
in ,0.0013887611299674618
 nicht,0.0013665440700718274
 Herr,0.0013302951828736871
 ich,0.0012940462956755466
es ,0.0012741678736636634
auch ,0.0012172610184923893
 man,0.0012125837427248874
haben ,0.0011966030505192555
 haben,0.0011307314167936027
Sie ,0.0010781120644092056
den ,0.0010773325184479552
von ,0.0010235438471216825
 den,0.0010126302036641778
 Ich,0.0009978188304004215
sind ,0.0009693654028147846
 zu,0.000949097207822276
wir ,0.0009440301590741488
 eine,0.0009167460504303874
 sich,0.0009073914988953834
ein ,0.0008847846660191239
 sind,0.0008777687523678708
hat ,0.0008656857899684907
werden ,0.0008598391952591133
eine ,0.0008582801033366126
 ein,0.0008555516924722364
Herr ,0.0008504846437241094
 dann,0.000847366459879108
ich ,0.0008251493999834736
 aber,0.0008126766646034683
 wenn,0.0007935777885528353
 Wir,0.0007818845991340804
im ,0.0007807152801922048
 im,0.0007795459612503293
 hat,0.0007616164041415718
wird ,0.0007616164041415718
 Es,0.0007530413985678182
 von,0.0007319936576140592
 Die,0.0007218595601178049
 was,0.0006996425002221706
 wie,0.000691067494648417
 für,0.0006657322509077812
und die,0.0006637833860046555
 da,0.000660275429179029
 mit,0.0006594958832177786
in der,0.0006384481422640197
die die,0.0006240265419808886
für ,0.000617790174290886
mit ,0.0006099947146783828
 wird,0.0006076560767946318
auf ,0.0006045378929496304
die der,0.0006014197091046291
 diese,0.0005936242494921258
 Frau,0.0005612730921002371
die und,0.0005573753622939855
das ist,0.0005534776324877339
man ,0.0005507492216233577
