NGRAM,VALUE,
  ,147461.40190274548
  dass,96677.3151548475
  Das,82255.48142744423
  Ich,75097.51902952662
  Herr,74675.28929237489
dass  ,73630.50785274123
  Wir,72351.06122005117
  Es,71850.8057012877
  Die,71551.74888779901
  Sie,70321.9621804211
  Und,69201.89734973956
  wenn,68941.7708441973
die  ,68823.29071822664
  was,68217.55418956286
  wir,67554.6488929505
  es,67246.06531892669
  Sehr,66885.48102209836
in  ,66875.01844876132
  die,66856.80725538387
  Prozent,66852.26193541048
  das,66368.80723325335
  Da,66164.45040047469
  sondern,65915.26365842787
  Wenn,65745.34596575487
  weil,65653.67543515356
sagen  ,65401.37968509425
  Präsident,65164.123412154724
  Frau,65112.89303525546
  aber,65004.01167647923
und  ,64955.9818194201
  wie,64910.121137201655
  Aber,64831.96688617576
  wo,64774.70866292961
  man,64685.98959260366
Präsident  ,64676.992791529265
Herren  ,64635.15145356811
Danke  ,64185.7332327158
sein  ,64006.33310260194
  Meine,63995.644449252366
zu  ,63885.121787235694
  nicht,63848.08766972659
werden  ,63825.71601582051
  Der,63803.26185527931
wenn  ,63761.808956927096
der  ,63659.212892873715
  ich,63631.71072285723
  Was,63585.43429554082
  denn,63573.20648573349
gesagt  ,63494.50334353813
  dann,63491.514715074554
  ist,63466.49381433556
  In,63396.81792334943
  —,63380.472431174945
  Damen,63365.39836623055
  Millionen,63171.98195440199
Es  ,63140.344504792345
Herr  ,63083.5964916425
nicht  ,63045.074784557524
Jahr  ,63018.5622658031
  Herren,63008.1074368608
  und,62953.395238045625
Bundesminister  ,62854.04904003534
  zu,62843.342492847434
das  ,62750.927900670395
weil  ,62728.71953880916
Millionen  ,62679.301246846815
Da  ,62615.830033472135
Wir  ,62587.41505789969
Das  ,62575.44205073373
  sich,62520.48190455253
wir  ,62511.69083680657
  Man,62510.137243774916
auch  ,62504.29771864698
  ob,62462.3874909457
Und  ,62401.48169412121
es  ,62394.96642375805
Milliarden  ,62380.46681908636
beschließen  ,62328.06969952291
  Hohes,62255.215973217106
Die  ,62183.76473823186
  Milliarden,62171.38621976231
  Wie,62171.379337728285
  sie,62164.558402468225
  da,62128.11731238648
glaube  ,62120.40618942849
was  ,62113.567086057854
  geehrter,62099.33351865286
wird  ,62095.514300247196
  Auch,62088.45870793011
  meine,62078.27652165231
haben  ,62076.29003344885
  Also,62055.31990340636
wie  ,62040.42200508491
sich  ,62031.55600599361
  nämlich,62029.8500723696
  sein,62020.892048958405
  Diese,62015.33093829274
  Im,61969.3968787331
für  ,61968.210960129065
Präsidentin  ,61922.405175007436
  Jetzt,61920.6412733361
heißt  ,61916.396162323115
  des,61897.86082977961
Ja  ,61886.02479498527
  Präsidentin,61880.184837123925
dann  ,61871.17949796845
  Ja,61830.38160391593
Minister  ,61830.19618658845
man  ,61828.10652907257
  schon,61774.94264113601
  Ein,61773.79640080092
den  ,61763.55910238096
Sie  ,61758.21292005534
Damen  ,61756.31022534546
aber  ,61743.28393881692
hat  ,61741.36528817881
eine  ,61704.796368127085
  warum,61677.80116188371
machen  ,61656.48838649018
Wenn  ,61636.54308917777
  auch,61623.128119969704
worden  ,61617.79713750918
Haus  ,61597.186330473385
  Werte,61592.391778430596
von  ,61573.03508547542
Nationalrat  ,61529.848902920254
  So,61509.77976913956
  Dann,61500.73804942378
  er,61482.46947072888
  pro,61481.47565401632
sind  ,61473.001055443856
  geehrte,61466.383841407
können  ,61450.99607224569
da  ,61413.15049050361
  geehrten,61381.19912406301
  der,61367.14743770437
  worden,61366.42905826217
  jetzt,61352.17802203424
wissen  ,61337.720857395645
  Daher,61330.43866467923
  Warum,61327.494514491824
  ja,61325.6332153746
mit  ,61315.954406512355
schön  ,61297.40507350162
  Er,61278.98174321182
tun  ,61278.43349950336
wo  ,61270.71926620587
  mich,61264.8826284248
wolle  ,61264.53649024183
ist  ,61253.160646660996
geben  ,61251.50386363304
ein  ,61247.949465089936
  einmal,61237.467293790556
  glaube,61233.01533625414
  Bundesminister,61229.158669106204
  uns,61225.93835015964
Frau  ,61221.20398731285
  von,61206.93221703879
  Wer,61200.46131902643
gegeben  ,61199.84640836989
In  ,61182.360861826244
Dank  ,61170.168682038005
sondern  ,61161.32400645769
  heißt,61159.98060889252
Abs  ,61159.552278424635
denn  ,61150.18002434561
  Eine,61149.763836563
ob  ,61143.849085738344
  noch,61136.84135017232
  also,61118.91693372064
bei  ,61058.227682201185
  Bei,61057.110324030415
  den,61037.796191615875
  Kollege,61029.59311163067
sagt  ,61029.17575477624
  diese,61023.57275697145
bekommen  ,61020.994438919566
  hier,61015.17489879872
gemacht  ,61005.04369559869
  gegeben,60996.40809086133
  mehr,60994.974114647266
rund  ,60992.426793013576
  um,60992.33181322144
  wieder,60980.30504425983
bis  ,60978.62776491824
  Ihnen,60976.90514437386
  muss,60963.03686601955
  ein,60958.467765106805
  doch,60950.00682950151
im  ,60943.185540549646
Der  ,60943.00861761044
darum  ,60941.06654912782
  nur,60937.52048725403
—  ,60937.40065302194
Hohes  ,60928.83048802793
  Zum,60922.343009120974
Herzlichen  ,60921.48120525746
  heute,60907.33832483995
Frage  ,60905.761265314264
  Genau,60903.13844941949
Nein  ,60901.33856182431
  Natürlich,60898.890270528995
sie  ,60889.935678933274
einen  ,60889.28964652711
gewesen  ,60884.66794808821
  mir,60877.35469592158
  eine,60876.04043885472
ab  ,60871.40316652252
  Für,60866.31698825303
  Geschätzte,60862.32344177949
  Kolleginnen,60857.33481043161
  einer,60856.4814595583
auf  ,60851.67935446417
  Auf,60850.233832938335
Aber  ,60850.05512905811
  Dezember,60846.42187589394
aufgefordert  ,60838.06204093905
  Danke,60819.89626343089
  letzten,60813.11104544892
  obwohl,60812.02008658495
  Mit,60809.261903174134
lassen  ,60796.33196765673
