NGRAM,VALUE,
 ,3368.401951234935
Damen Herren,2337.479915596848
Herr Präsident,1053.683127615881
Meine Damen,1052.462981487842
Herr Bundesminister,1013.2223653893109
geehrten Damen,951.7083934459714
geehrten Herren,948.7952996140538
Damen und,945.1464146970848
und Herren,907.0516778892879
sehr geehrten,869.7879701287154
sehr Damen,844.1645021922864
sehr Herren,838.1875813776119
Das ist,790.4244790144211
Hohes Haus,777.5649041787449
Herr Minister,690.9859606845772
Meine geehrten,686.1586851480437
Sehr geehrte,674.6015405901051
Sehr geehrter,658.34363022152
dass ,632.7996725832313
Kolleginnen Kollegen,619.7631056169224
 dass,606.8279986333705
 Herr,599.4231782731025
in Österreich,594.7830000385391
Meine sehr,590.1828993109161
meine Damen,576.6596389356206
geehrter Herr,548.8602117581178
vor allem,536.2224455697266
Frau Präsidentin,522.1750567957871
Wir haben,512.6348166240731
zum Beispiel,462.999909685195
 Das,424.4705736543209
Meine und,410.40930521713136
 Sie,406.05463952149853
in diesem,402.2580339880421
gibt es,387.85231809965325
geehrten und,376.89334607203057
immer wieder,373.51456083445635
ein bisschen,369.46065443885976
Präsident Herr,347.8157264111147
Nationalrat wolle,343.98558414328863
Sehr Herr,343.703275312967
wolle beschließen,339.3139374331152
geht um,325.5830284130268
geehrter Präsident,325.3255581113957
 wir,316.20284970353134
Europäischen Union,311.8427107772938
Das heißt,310.4638762655383
seit Jahren,308.76859127438416
 es,307.0737140103722
Ich glaube,306.15176376311365
für die,298.2190508178527
Herr Kollege,297.91528793226826
SPÖ ÖVP,290.44220036602474
nicht mehr,290.2478494016174
mit dem,287.00358428990285
in den,285.46454844080466
Hohen Haus,284.7011447551037
das ist,283.6978425694749
letzten Jahren,283.54721886572275
Entschließungsantrag Abgeordneten,278.14317432009966
Ich habe,275.45481890554476
Nationalrat beschließen,275.0530496446296
meine geehrten,274.7990270591014
Frau Bundesminister,274.6683561414521
geehrte Frau,274.24333313067825
Sehr Präsident,272.5184088078278
 das,272.10718606143587
 Ich,271.60676335386415
in der,270.0721700375438
leider Gottes,268.5584002754007
Der wolle,268.30568384540027
Sie haben,264.19741319754087
aus dem,264.18430085023124
im Bereich,263.04466141336684
sehr und,260.4978890155387
im Ausschuss,260.4155462304514
frage mich,260.1776483284335
wenn man,257.7037200045735
Es gibt,257.3262394993503
meine sehr,255.33819788031457
muss man,254.83255066990785
gar nicht,251.75617099760237
den letzten,251.45351975345778
Der Nationalrat,239.45767389799445
 Die,237.6769580107789
Meine Herren,236.81160106574202
ich Ihnen,234.58320821276897
— Danke,233.70819876565196
 Präsident,232.17818163314973
Frau Kollegin,232.1773919151542
folgenden Entschließungsantrag,230.90396621549397
Ich sage,221.1997614561762
 Sehr,217.48437623782843
so wie,215.92056887708958
 Frau,214.83956032818799
 die,211.8403070904028
es um,211.6732409854892
et cetera,211.11248719686458
Kolleginnen und,208.8523527948855
den Jahren,208.29359966275712
 Wir,208.02171430498987
Der beschließen,207.50447726115559
Es ist,206.50584421595332
ist ein,205.17270183924728
Ich möchte,204.95898845730576
im Jahr,204.4257802655088
zur Verfügung,202.84791986796705
 Prozent,202.63257029537903
Präsident ,201.3257924696747
geehrte Präsidentin,199.45092343155875
 wenn,198.902918099459
Jörg Haider,198.68467045797848
es gibt,198.312160104816
Herr Bundeskanzler,198.2950666396581
 was,197.46866533500207
wir uns,197.44339148743111
kann man,196.82759158661355
folgenden Antrag,196.52652872002795
Frau Minister,196.0552945681204
 Es,195.2155747947778
meine und,193.863993502964
Sehr Frau,192.91754905402578
Präsident Bundesminister,191.13577335609605
bei den,190.81616287810397
die ,189.1681042129826
in letzten,188.78171705368965
Werte Kollegen,188.490398279045
Hypo Alpe-Adria,187.79218646522673
Werte Kolleginnen,187.70292392283065
Rot Schwarz,186.67695284922732
möchte ich,186.11829364766677
Herzlichen Dank,184.1744863961487
 man,183.624018250669
ein paar,183.3470344746092
Europäische Union,182.81635073714497
geht es,182.0576174765244
Herr Herr,180.04803455379607
muss sagen,179.86629735483854
meine Herren,179.07819729074396
verehrten Damen,178.96283554046994
verehrten Herren,177.4700924673935
auf Seite,177.22430041221793
noch einmal,176.68705016489045
man sich,175.49664301224138
sage Ihnen,173.8515758277427
diesem Zusammenhang,173.79214584332354
geht darum,170.66496547070787
Sie sich,170.53274836900886
ich mich,169.6583321338633
Sehr Präsidentin,168.83978867103593
aus Sicht,168.37301481819873
nichts anderes,167.85625826470647
in Jahren,167.84703410731748
der Bevölkerung,165.6773295054927
und ,164.71960172432057
sehr verehrten,164.62571976440313
bei der,163.88964235601787
anderen Seite,162.39396019515243
sehr wohl,161.77063549792518
zu tun,160.900970635875
geehrte Herren,160.86666569670402
Danke ,159.55069287431553
haben wir,157.84670469128818
Präsident Minister,157.52822950699937
Frau Bundesministerin,156.9512212789002
geehrter Sehr,156.70497110606004
Herr Hohes,155.36119257681696
ich habe,155.05888070091694
Antrag Entschließungsantrag,154.220934735513
letzten Endes,153.81354053539
im Sinne,153.58323905475595
Herr Sehr,153.0845883800614
in Zukunft,151.47470145094076
 ich,150.86164601792404
Ich bin,150.04116898996568
Einsetzung Untersuchungsausschusses,147.93218176079344
