NGRAM,VALUE,
 ,3601.993462121036
Damen Herren,1348.3919835781478
Herr Präsident,756.8483656687039
Das ist,728.164026389315
Herr Minister,715.1143234699815
Meine Damen,712.0548775762194
Kolleginnen Kollegen,654.9044481412783
Sehr geehrte,633.4138978735926
Meine Herren,625.1859004931084
dass ,598.9758627888527
 dass,596.1793784651861
in Österreich,545.5287907632329
vor allem,500.438765868421
Frau Präsidentin,472.1734477501604
Damen und,462.0741731132645
zum Beispiel,454.99185635139037
geht um,452.6387802061664
 Herr,437.69084014014516
und Herren,432.9415584263726
Frau Ministerin,432.51052783025807
in diesem,417.38126418091997
Wir haben,405.72055428925364
 Das,366.5768227002801
ein bisschen,360.45748665654423
 Sie,356.31197167861944
gibt es,352.03354974657327
— Danke,347.5732229018232
in der,343.7422281585956
Sehr geehrter,335.9750152538908
Herr Bundesminister,328.9546407069183
Hypo Alpe-Adria,328.0676199666761
mit dem,326.93308340184143
 wir,321.08263080357733
 es,313.77458329152114
immer wieder,301.1265123180549
wir uns,294.55936095362347
Ich möchte,293.61146232401774
nicht nur,278.90799047138375
 das,278.4545911305538
Danke schön,273.2748188471073
seit Jahren,271.92861313610223
Ich habe,269.7735291729663
wolle beschließen,262.1272882807126
noch einmal,258.8144913050869
Sie haben,258.0751458489482
in den,253.88646772416251
Es gibt,253.295708398245
gar nicht,253.04467159256953
 Ich,252.3069395299873
Nationalrat wolle,244.18209342708394
Herr Kollege,242.88412972807794
für die,242.5324008062703
nicht mehr,241.306742827566
Meine und,236.5005937171863
es gibt,235.6930806713604
geehrter Herr,235.2209057296377
in Richtung,234.7052380120599
 die,231.14495810125686
es um,225.8748871788112
Das heißt,223.77991263857663
geehrte Herren,221.27642620386723
Bürgerinnen Bürger,220.60057373788206
Nationalrat beschließen,220.04317040652347
Hohes Haus,218.52023940688622
Ich glaube,217.24685829491673
 was,216.73358581488617
ist ein,216.1245855964856
Kolleginnen und,213.4959522935124
geehrte Damen,213.24522051502464
Danke ,211.77798278671062
aus Sicht,209.3731650402807
das ist,206.29165295974315
Herr Bundeskanzler,203.84470685684363
im Ausschuss,203.2859152793054
de facto,201.83608421617498
muss man,199.63243849584293
so wie,198.97806318582678
bei der,196.903467839768
und ,194.8523074796317
Der wolle,194.22247298480727
im Bereich,194.21013640545505
ganz klar,193.66419754318804
ein paar,193.48760054120993
Es ist,192.73357188640605
möchte ich,192.67565609986002
zur Verfügung,191.4458781596599
zu tun,190.56715420958213
Es geht,187.43514613638865
 Es,185.82675637395675
 Wir,184.21742144505265
 Die,183.10330838282107
Ich finde,182.50449640648503
 Präsident,182.01629764273173
Europäischen Union,179.9596538018005
Vielen Dank,178.4642832166494
Danke Herr,176.87515101430432
Sehr Herren,176.78277364456738
Sie sich,176.14397197329083
 wenn,175.98939123196226
bei den,175.884911923892
aus dem,174.42935400948664
ich Ihnen,173.90524949049336
Entschließungsantrag Abgeordneten,172.77779494855503
Präsident Herr,172.29562151913711
Herr Finanzminister,172.25284207314832
dass wir,171.9926323537521
et cetera,171.27950434277955
geht darum,171.23029411062373
geht es,170.87148254117358
Sehr Damen,169.64908993016232
meine Damen,169.1293387392852
Der beschließen,167.65298745393778
aber auch,166.54527063942987
 Frau,165.5561515268306
und Kollegen,165.1011881706071
Art Weise,163.04935868466046
kann man,162.61057531369792
wenn man,162.47491288482894
Frau Bundesministerin,160.9699791842104
Der Nationalrat,159.29972527084016
im Jahr,158.7813934971511
Ich bin,157.40484334327715
Herr Meine,156.50579639603035
man sich,155.9623549425025
ich habe,155.37574404230256
meiner Sicht,154.9940716228216
meine Herren,154.91414630937192
bringe folgenden,154.31261323372402
auf Seite,153.37538876439223
 Und,149.4607871779328
Zuseherinnen Zuseher,149.43966791640614
Sehr Herr,148.72114974960408
 aber,148.5699712017573
folgenden Entschließungsantrag,148.24624220722885
 ich,147.8465140917233
diesem Zusammenhang,146.2353845469737
glaube ich,144.37259489418682
Hohen Haus,142.88774886853037
im Sinne,141.83801955381816
Frau Kollegin,141.4114036805011
Präsident Meine,141.33241871223368
Ich mich,139.44902373064394
Ich Ihnen,138.08778845353356
zu ,137.22244629171553
Kolleginnen betreffend,136.52198538012325
 Sehr,136.0240417476809
dass es,134.56778800256544
ist eine,134.53691143271988
 Meine,134.41499189558806
Danke Präsident,133.3468369738295
dass die,132.72739821623162
wenn ,131.63238348307084
 Prozent,131.4358669378848
im Übrigen,131.36204640236224
SPÖ ÖVP,130.79670515537128
haben wir,130.68363935927945
sehr viel,129.92789992946172
Kollegen betreffend,129.85252445467847
wolle Die,129.7008627644732
folgenden Antrag,129.50173618050658
es geht,129.0995890108594
letzten Jahren,129.0020446879115
an Stelle,128.84647343638574
mehr als,128.61900795272862
— das,127.67483540988962
beschließen Bundesregierung,127.39974630470444
Team Stronach,127.06051714198833
Zuschauerinnen Zuschauer,127.06051714198833
geehrter Präsident,126.40617027444232
Herr Vizekanzler,125.93960357848782
Wissenschaft Forschung,125.83028102776339
ich mich,125.74072900089206
ich mir,125.59499716226372
Präsident Sehr,125.57285610935284
mit Sicherheit,125.13990391269277
die Frage,124.5602895688418
in Jahren,123.94291430768978
habe ich,123.80816477916271
den letzten,121.84620268633282
von ÖVP,121.72632105418496
anderen Seite,121.36305662981226
ernst nehmen,121.15826042674883
in letzten,120.89364587816327
 ist,119.82450793485805
sage Ihnen,119.77927005055466
Werte Kolleginnen,119.31840538925769
— ich,118.52395043438301
 man,118.33873234442598
den Jahren,118.09847575455075
muss sagen,117.55116040580268
Zusammenhang mit,117.39413781056896
dafür dass,116.59338336943857
halte für,116.36106427368716
weil ,115.85421007602639
und zwar,115.80011711059701
auf Regierungsbank,115.35456650134944
frage mich,115.32505594324763
des Rechnungshofes,115.1888851123829
in Europa,114.69314288301356
die ,114.5531955042569
es darum,113.7132320191185
im Parlament,113.4211369641118
Bäuerinnen Bauern,112.9395684976527
hier Haus,112.53476033757298
Ich sage,112.49036242640356
beschließen Die,112.15650863022216
geehrter Sehr,111.84482033616067
geehrte Frau,111.52182055857524
Und ,111.30733513656432
kann nicht,110.42226662922658
in Form,110.00607810503162
nicht ,109.67207500919255
Präsident Damen,109.18402474286665
sondern auch,108.09086163560302
einen Antrag,107.80913183907153
Werte Kollegen,107.28724841979408
Herr Sehr,107.14344148505923
Antrag Entschließungsantrag,106.68285604207334
— schön,106.50916357068208
darauf dass,106.35340466511416
Die Bundesregierung,106.13350018876737
was betrifft,106.03613790864526
bin ich,105.96586326101203
Da es,105.25609532814437
Wir brauchen,105.05231560012237
 Millionen,104.6930962121049
Frau Finanzministerin,104.56974015180532
schlicht einfach,103.36079618701956
darauf hingewiesen,102.79472380633528
Herr Damen,102.36148700673021
Freiheitlichen Partei,101.42392295856422
diesem Haus,100.99961948797741
freue mich,100.7498211161843
etwas anderes,100.28565495568934
Einsetzung Untersuchungsausschusses,99.55534287948402
der ÖVP,99.54236331148974
sehr wohl,99.41044986659773
von SPÖ,99.20773815034468
wird aufgefordert,98.81451900160562
sehr sehr,98.74212964439066
und auch,98.40569428420338
Herren Regierungsbank,97.79195645975113
dass man,97.47607351997996
geehrte und,96.90629576919225
Präsident ,96.89330159499156
des Parlaments,96.82565168841779
Freiheitliche Partei,96.74114562069974
am Schluss,96.5728740395926
aus Gründen,96.53645115267697
im Zusammenhang,96.50103387844736
im Rahmen,95.8335729937298
auf Ebene,95.59652781284444
 Präsidentin,95.50125157794436
Bezug auf,95.4004862384893
im Haus,94.9361356769743
in ,94.4451293079461
erster Linie,94.06188052296352
mit den,94.00957957674645
in dieser,93.96258741476962
auf der,93.91234036999634
bringe Antrag,93.82740323815861
mit der,93.77304339243128
Wenn man,93.52071745145562
Danke Frau,93.41709707394931
die es,93.22434919171394
diesem Land,92.9898992219612
Wir ,92.58520827017873
In diesem,92.54535058568288
Danke Sehr,92.5382089514529
wir ist,92.28360730180609
Lohn- Einkommensteuer,92.218042627795
sagen ,92.10950085741092
 Da,91.70397611594723
so weiter,91.18295478096846
Sehr Präsident,90.52267481817066
Herr Herr,90.35750717653994
Es um,90.29678283076842
 weil,90.12048754521115
dort wo,90.10899568309998
Wir wissen,89.61889845512424
am Ende,89.55488165871976
nach vor,89.37014295345782
sehr viele,88.60765621867418
Gott Dank,88.09660623170737
diesem Bereich,87.75355957978215
die das,87.49071172127444
stellt sich,86.57570716790916
aufgefordert Nationalrat,86.40048903754528
dieser Form,86.26436499884214
haben Sie,85.55895066336063
eines Untersuchungsausschusses,85.18849646058717
hat gesagt,85.1430758099111
Das ,85.13447190595923
Österreicherinnen Österreicher,84.80546192779076
verehrten Damen,84.28450990751278
unter anderem,84.1996894462551
Ich denke,84.16712825224798
