NGRAM,VALUE,
  ,0.0014821767209906261
 Herr ,0.000525413977882722
 Das ist,0.0003637881152501537
 — ,0.0003055820168101291
Damen und Herren,0.0002894714002776223
  die,0.000286353216432621
  Herr,0.0002834948812413698
 das ist,0.0002720615404763649
 dass die,0.0002710221458613645
 die ,0.000265045626825112
und Herren ,0.0002595888050963597
 Herr Präsident,0.0002546516806751076
Damen Herren ,0.0002473759183701045
Damen und ,0.0002473759183701045
 ist ,0.0002338637883750988
 Präsident ,0.00021073725819133903
—  ,0.0002076190743463377
 Frau ,0.00020580013377008696
die  die,0.00020242210127133554
 Ich ,0.000198784220118834
 das ,0.00019722512819633333
  und,0.0001935872470438318
von  ,0.00019046906319883047
 und ,0.00019020921454508037
  das,0.0001881304253150795
 Sie ,0.0001860516360850786
 Das ,0.00018163420897132675
 Wir haben,0.00016942132224507159
  dass,0.00016630313840007026
 dass es,0.00016396450051631929
Herr Präsident ,0.0001595470734025674
 dass wir,0.000153830403020065
 Millionen ,0.00014837358129131268
  —,0.00014785388398381246
sehr Damen Herren,0.00014551524610006148
sehr Damen und,0.00014551524610006148
sehr und Herren,0.00014551524610006148
  Das,0.00014525539744631138
 in der,0.00014499554879256126
 Damen und,0.00014421600283131094
 sehr Damen,0.00014421600283131094
ist  dass,0.00014369630552381072
 ich ,0.00014213721360131006
 Prozent ,0.00014135766764005971
 Herr Bundesminister,0.00013953872706380896
 dass das,0.0001387591811025586
in der ,0.00013823948379505842
 Sie haben,0.00013642054321880764
 Meine Damen,0.00013564099725755732
 Bundesminister ,0.0001353811486038072
Meine Damen und,0.00013434175398880675
 dass ,0.00013408190533505666
 Es ist,0.00013174326745130565
das ist ,0.0001307038728363052
 die in,0.0001299243268750549
Herr Bundesminister ,0.00012654629437630348
  Frau,0.00012342811053130215
 sehr geehrten,0.0001223887159163017
 und das,0.00012160916995505138
  Sie,0.00011979022937880061
sehr geehrten Herren,0.00011979022937880061
geehrten Damen Herren,0.00011927053207130039
geehrten Damen und,0.00011927053207130039
geehrten und Herren,0.00011927053207130039
sehr geehrten Damen,0.00011927053207130039
sehr geehrten und,0.00011927053207130039
 zu ,0.00011875083476380017
 dass der,0.00011849098611005006
 geehrten Damen,0.00011849098611005006
Das ist ,0.00011771144014879973
 Milliarden ,0.00011745159149504962
 der ,0.00011719174284129951
  der,0.00011667204553379929
 dass man,0.00011667204553379929
 und Herren,0.00011615234822629907
 Damen Herren,0.00011589249957254896
  ist,0.00011303416438129776
  in,0.00011225461842004743
 die der,0.00011225461842004743
in Österreich ,0.0001114750724587971
— Danke ,0.00011069552649754677
 ist ein,0.00011043567784379666
 Sehr geehrter,0.00010939628322879622
  es,0.00010783719130629556
 glaube ,0.00010783719130629556
 geehrter Herr,0.00010757734265254545
 Danke ,0.00010731749399879534
 Sehr Herr,0.00010705764534504523
ist  ,0.0001062780993837949
 wir ,0.00010601825073004479
  Präsident,0.00010575840207629469
 dass Sie,0.00010575840207629469
und  ,0.00010575840207629469
geehrten Damen ,0.00010549855342254458
geehrten Herren ,0.00010549855342254458
geehrten und ,0.00010549855342254458
 dass in,0.00010393946150004392
 ist das,0.00010393946150004392
 gibt es,0.00010315991553879359
 es ist,0.0001010811263087927
der  die,0.0001010811263087927
 Sie sich,0.00010030158034754238
 heißt ,9.926218573254194e-05
 ist die,9.900233707879182e-05
 und die,9.874248842504171e-05
 ist es,9.82227911175415e-05
 Meine sehr,9.796294246379138e-05
