NGRAM,VALUE,
  ,158575.2704621551
  dass,101196.13440629197
  Das,87435.73482703397
  Ich,81859.73911912687
dass  ,78892.94115195198
  Wir,77930.56124400251
  Es,77844.4123838499
  Herr,77357.03370147056
  Die,75837.40352995187
  was,75595.03280524077
  Und,75585.02117646014
  Sie,74611.49241456347
  wir,73569.57404171674
  wenn,73373.47332405357
  es,73295.60136733582
  die,72704.69588457716
die  ,72504.39373943004
  das,72492.90299865155
  weil,72164.78502068626
in  ,72150.38618824995
und  ,71873.93639800973
  sondern,71669.86072084002
  Aber,71208.63236589085
  Da,71039.81119036724
  aber,71033.99607279123
Danke  ,71005.36153840914
  Wenn,70621.49896278686
  Frau,70443.08551461858
  Sehr,70264.00173804103
  Prozent,70253.45092228238
  wie,69995.36771596258
  Präsident,69957.15389158801
sagen  ,69919.30248007088
  wo,69823.21977443468
  Was,69798.46028172137
  Der,69723.16610128272
  Millionen,69610.1000538464
zu  ,69454.7016713892
wenn  ,69402.68657058943
  ich,69366.04904553154
  Meine,69260.59119360655
sein  ,69184.99343820484
  nicht,69150.20293608555
  —,69149.56293771845
Das  ,69137.04652709009
Es  ,69095.47687567383
  ist,68949.28353480421
  man,68869.49196038122
gesagt  ,68813.99758000682
  In,68807.22499569254
wir  ,68804.59471120713
werden  ,68774.40674060455
  denn,68763.87980433943
nicht  ,68745.36693621674
Wir  ,68584.72153313657
  Jetzt,68551.14833868382
Präsident  ,68544.40843938303
Und  ,68522.91009924527
  nämlich,68502.73491508044
  dann,68494.63834934468
Millionen  ,68430.1317215876
der  ,68418.96524472747
schön  ,68409.99000726591
das  ,68391.818659719
  Milliarden,68310.7360512297
  ob,68310.60716450293
es  ,68301.61867907603
Milliarden  ,68219.67839552114
was  ,68208.33328038109
  sich,68170.33183182974
Ja  ,68151.14231514378
  Präsidentin,68091.43625984651
  Also,68079.7394961241
wird  ,68030.62714463595
auch  ,68015.67978095371
  sie,68000.71747776517
Jahr  ,67994.84166702419
Herren  ,67987.60943559154
  Wie,67946.39095280942
  Herren,67915.93727812389
  zu,67910.57126631873
Da  ,67903.3662448599
Herr  ,67898.69930982549
  Ja,67801.91506165074
  warum,67776.45147313584
glaube  ,67773.23159140887
Die  ,67764.74693545366
können  ,67727.52449306632
