NGRAM,VALUE,
 Herr Präsident ,0.00026511452604889417
   ,0.00022142844905860787
 — Danke ,0.00020215517979818747
Damen und Herren ,0.00019316098747665793
 Damen und Herren,0.00016103887204262392
 Frau Präsidentin ,0.00014090901303729592
 Herr Minister ,0.00013362800020558154
— Danke  ,0.00013362800020558154
  Herr Präsident,0.00013191482071576638
  Herr ,0.00012763187199122853
 Meine Damen und,0.0001224923335217831
  Präsident ,0.00012035085915951415
Meine Damen und Herren,0.00011735279505233763
 Meine Damen Herren,0.00011392643607270734
 Meine und Herren,0.00011392643607270734
— Danke schön ,9.765123091946343e-05
Meine Damen Herren ,9.636634630210207e-05
Meine Damen und ,9.636634630210207e-05
Meine und Herren ,9.636634630210207e-05
 Kolleginnen und Kollegen,8.437408987339604e-05
 Das heißt ,8.266091038358088e-05
 —  ,8.094773089376574e-05
 Ich glaube ,7.709307704168166e-05
 Sehr geehrter Herr,7.495160267941272e-05
  Frau Präsidentin,7.024035908242107e-05
 Danke  ,6.938376933751349e-05
Danke  Herr Präsident,6.681400010279077e-05
  Frau ,6.638570523033699e-05
— Danke  Herr,6.595741035788319e-05
 Das ist ein,6.552911548542941e-05
 Frau Ministerin ,6.510082061297563e-05
Kolleginnen und Kollegen ,6.510082061297563e-05
 Herr Bundesminister ,6.467252574052183e-05
 glaube ich ,6.467252574052183e-05
 Sehr geehrte und,6.424423086806805e-05
  Präsidentin ,6.25310513782529e-05
 Sehr geehrte Damen,6.25310513782529e-05
 Das ist eine,6.0389577015983965e-05
Danke   Herr,5.953298727107639e-05
 Millionen  ,5.824810265371503e-05
 Herr Kollege ,5.781980778126124e-05
 — Das ist,5.781980778126124e-05
Nationalrat wolle beschließen ,5.7391512908807454e-05
 Herr  Herr,5.525003854653852e-05
 Milliarden  ,5.26802693118158e-05
 und das ist,5.225197443936201e-05
Danke schön  ,5.182367956690823e-05
Sehr geehrter Herr ,5.182367956690823e-05
 Herr  Meine,5.0538794949546866e-05
 Danke schön ,4.9253910332185505e-05
 — Danke schön,4.9253910332185505e-05
 — schön ,4.9253910332185505e-05
geehrte Damen und Herren,4.8825615459731716e-05
wolle beschließen  Die,4.8825615459731716e-05
 geehrte Damen und,4.839732058727793e-05
— schön  ,4.839732058727793e-05
Herr Präsident  Herr,4.7969025714824144e-05
 Das ist ,4.6684141097462784e-05
 Es geht um,4.6255846225008994e-05
 Das ist der,4.497096160764763e-05
Sehr geehrte und Herren,4.497096160764763e-05
 Herr Präsident Herr,4.4542666735193844e-05
 Präsident  Herr,4.4542666735193844e-05
Sehr Damen und Herren,4.4542666735193844e-05
Sehr geehrte Damen Herren,4.4542666735193844e-05
Sehr geehrte Damen und,4.4542666735193844e-05
 Sehr Damen und,4.411437186274006e-05
  Millionen ,4.368607699028627e-05
Präsident  Herr ,4.368607699028627e-05
 Das ist die,4.28294872453787e-05
Herr  Meine Damen,4.240119237292491e-05
 Ich  dass,4.197289750047112e-05
 Sehr geehrte Frau,4.154460262801734e-05
beschließen  Die Bundesregierung,4.111630775556355e-05
  Milliarden ,3.897483339329462e-05
geehrte Damen Herren ,3.897483339329462e-05
geehrte Damen und ,3.897483339329462e-05
geehrte und Herren ,3.897483339329462e-05
 bis  ,3.854653852084083e-05
meine Damen und Herren,3.854653852084083e-05
— Vielen Dank ,3.854653852084083e-05
 Das ist das,3.811824364838704e-05
 meine Damen und,3.768994877593326e-05
 meine Damen Herren,3.683335903102568e-05
 meine und Herren,3.683335903102568e-05
 — Ja ,3.683335903102568e-05
Der Nationalrat wolle beschließen,3.6405064158571896e-05
Der Nationalrat beschließen ,3.597676928611811e-05
Der Nationalrat wolle ,3.597676928611811e-05
Der wolle beschließen ,3.597676928611811e-05
Herr Präsident  Meine,3.597676928611811e-05
  Sehr geehrte,3.554847441366432e-05
 Hohes Haus ,3.554847441366432e-05
 ist  dass,3.4263589796302956e-05
Danke schön  Herr,3.4263589796302956e-05
 Wir wissen ,3.3835294923849174e-05
—   Herr,3.3835294923849174e-05
 Ich finde ,3.3407000051395385e-05
 Und das ist,3.3407000051395385e-05
schön  Herr Präsident,3.3407000051395385e-05
