WORD,RANK,
Damen und Herren,1114
. Das ist,905
, dass die,627
Herr Präsident !,561
, dass es,555
, dass wir,547
, das ist,468
sehr geehrten Damen,459
geehrten Damen und,459
und Herren !,423
und Herren ,,419
. Wir haben,416
, dass man,397
, dass Sie,358
, dass das,344
. Es ist,341
Hohes Haus !,313
Meine sehr geehrten,312
, und das,304
! Hohes Haus,303
, wenn man,270
Sehr geehrter Herr,269
Kolleginnen und Kollegen,253
ist , dass,251
Frau Präsidentin !,249
. Das heißt,240
Herr Bundesminister !,230
Präsident ! Herr,229
in den letzten,226
Das heißt ,,218
, wenn es,210
, dass sie,199
Herr Bundesminister ,,196
, die wir,196
, meine sehr,190
Ich glaube ,,188
und das ist,185
, dass der,184
. Es gibt,184
das , was,180
. Sie haben,178
. Ich glaube,176
. — Danke,176
, und ich,172
! Meine sehr,169
. Meine sehr,169
, die Sie,168
, die sich,167
, und zwar,165
! Sehr geehrte,165
, aber auch,165
— und das,164
. Ich habe,160
geehrter Herr Präsident,158
! Herr Bundesminister,158
, es ist,158
. — Das,155
Meine Damen und,155
Herr Minister !,154
— Danke .,151
, wenn Sie,151
meine sehr geehrten,150
. Ich sage,149
. Das sind,148
, was Sie,147
, Herr Bundesminister,146
Sehr geehrte Frau,145
. Ich möchte,142
, und es,141
, wir haben,140
, in der,139
— , dass,138
, die in,137
, dass diese,137
, und die,137
! Herr Minister,135
. Wenn man,134
meine Damen und,131
, Sie haben,131
, meine Damen,130
, und wir,129
, wie es,128
im Bereich der,125
, und da,125
, dass er,124
, wenn wir,124
, was die,121
— Das ist,120
! Das ist,119
Der Nationalrat wolle,117
: `` Die,115
, dass sich,114
. Und das,111
. Es geht,110
und so weiter,108
Herr Minister ,,108
SPÖ und ÖVP,107
, dann ist,106
ich glaube ,,106
und Kollegen !,105
sein , dass,105
— das ist,104
, weil die,104
wolle beschließen :,104
den letzten Jahren,103
, wie wir,103
Präsident ! Sehr,103
Nationalrat wolle beschließen,103
, dass in,103
. Ja ,,102
, was wir,102
, die die,102
Das ist ein,101
beschließen : ``,101
glaube ich ,,100
der Europäischen Union,100
! Sehr geehrter,99
, wie Sie,98
Entschließungsantrag der Abgeordneten,98
, wie man,98
, weil es,95
, die nicht,95
, wo man,94
. In diesem,94
geehrte Frau Präsidentin,93
geehrte Damen und,93
, es gibt,92
sagen , dass,92
Menschen , die,91
. Wenn Sie,91
es um die,89
haben , dass,88
, wo es,88
. Und ich,88
auf der Regierungsbank,88
, Herr Minister,87
, sondern auch,87
sehr verehrten Damen,87
verehrten Damen und,87
, weil sie,86
in diesem Bereich,86
. Und wenn,85
sehr , sehr,85
Sehr geehrte Damen,85
der anderen Seite,83
? — Das,83
, weil wir,83
, glaube ich,83
Präsident ! Frau,83
wissen , dass,83
, aber es,82
, vor allem,82
, so wie,81
, aber das,80
, das sind,80
, für die,80
in diesem Land,80
, die es,80
werden . Das,80
Das ist eine,80
, wo wir,80
. Meine Damen,79
: Entschließungsantrag der,79
nach wie vor,79
Herren auf der,79
Präsidentin ! Herr,78
haben , die,78
das ist eine,78
— , und,78
, um die,78
wenn es um,78
, und Sie,77
. Ich kann,77
— Ja ,,77
. Ich bin,77
, Herr Kollege,77
, und dann,77
. Wir sind,76
. Herr Bundesminister,75
, wenn die,75
! Wir haben,74
, in dem,74
Sie , Herr,74
, dann muss,73
ist . Das,73
nicht , dass,73
wird aufgefordert ,,73
, aber ich,73
Das ist die,72
geht es um,72
das ist ein,71
hat , dass,71
frage ich mich,71
, ist ,,71
Das ist ja,70
so , dass,70
Werte Kolleginnen und,70
: Wir haben,70
sind , die,69
, Kolleginnen und,69
zu sagen ,,69
von der ÖVP,69
, weil Sie,68
auch , dass,68
, wenn sie,68
der Regierungsbank !,68
darum geht ,,67
, denn die,67
, wie das,66
. Wenn wir,66
im Hohen Haus,66
, die man,66
: Ja ,,66
Ich sage ,,65
Da gibt es,65
geehrter Herr Bundesminister,65
! Es ist,65
in diesem Zusammenhang,65
, wie sie,65
. Wenn ich,65
und Herren .,65
! Meine Damen,65
ist , die,65
Frau Bundesminister !,65
von SPÖ und,64
. Das hat,64
. — Ich,64
. Wir werden,64
zu tun ,,64
Das ist doch,64
, sondern das,64
haben . Das,64
im Zusammenhang mit,63
, mit dem,63
`` Die Bundesregierung,63
und Herren auf,63
auch in der,63
. Es wird,63
, ob es,63
, denn das,62
. Wir wollen,62
, denn es,62
Bundesminister ! Hohes,62
ist , und,62
und vor allem,62
Danke schön .,62
haben , und,62
. Und da,61
. Ich weiß,61
, die im,61
, nämlich die,61
gesagt hat ,,61
worden sind ,,61
, aber die,60
Und das ist,60
. — Ja,60
— , die,60
dem , was,60
dann , wenn,59
. Ich darf,59
auf der anderen,59
in Österreich ,,59
, wenn ich,59
zu machen ,,59
Sie sagen ,,59
dafür , dass,59
, wie die,58
diejenigen , die,57
, wo die,57
. Das wäre,57
. Ich denke,57
— Danke schön,57
Frau Bundesminister ,,57
das ist auch,56
gesagt , dass,56
in der Vergangenheit,56
, aber wir,56
, dass ich,56
, das heißt,56
glaube , das,56
, nämlich dass,56
und Kollegen betreffend,56
! Werte Kolleginnen,56
. Aber das,56
, ich habe,55
— Herzlichen Dank,55
, die das,55
ist . Ich,55
. Wir müssen,55
sind . Das,55
, und auch,54
nicht sein ,,54
, die hier,54
Präsident ! Meine,54
, auch wenn,54
, dass dieser,54
, die auch,54
. Man kann,54
in Österreich .,54
der ÖVP ,,54
