WORD,RANK,
, dass,5213
, die,3902
, und,2595
. Das,2458
, das,1955
. Ich,1748
, was,1528
ist ,,1370
in der,1343
. Es,1247
, aber,1241
. Wir,1232
Das ist,1209
. Und,1141
, wenn,1140
, wie,1091
, der,1057
. —,1014
— ,,960
das ist,934
haben ,,902
, weil,891
. Die,846
für die,825
, dann,804
, sondern,747
in den,725
ist .,722
dass wir,679
, in,677
dass die,676
, es,671
? —,657
in Österreich,651
. Aber,650
und das,644
hat ,,642
dass es,632
. Sie,614
, denn,613
, ist,604
— und,604
, wo,595
und die,575
, nämlich,573
. Da,567
und Herren,559
Damen und,555
, um,554
in diesem,553
sind ,,553
, auch,534
, Herr,524
Wir haben,515
werden .,495
Es ist,491
, wir,487
wird ,,486
gibt es,484
haben .,465
von der,463
werden ,,462
ist es,454
Sie haben,452
. Wenn,447
wird .,444
in die,434
bei der,429
nicht nur,428
auf die,425
auch die,423
Herr Präsident,422
haben wir,411
nicht ,,402
ist das,396
mit dem,393
nicht mehr,390
dass das,389
sagen ,,386
, als,381
wir uns,381
Präsident !,380
es ist,378
, ob,377
mit der,377
ist die,376
Herr Minister,373
auf der,366
. Der,365
hat .,365
und auch,357
ist ein,354
, ich,347
, Sie,345
! —,345
sind .,345
, den,342
dass Sie,338
, mit,335
— Danke,330
, da,329
Ja ,,328
— das,323
um die,323
aber auch,320
Sie ,,308
Herren !,307
. Jetzt,306
bei den,305
! Das,304
dass man,303
Sie sich,298
sein ,,297
! Ich,295
können .,294
das ,,293
ist eine,292
. Was,291
gesagt ,,291
haben Sie,289
geht es,287
auch in,285
. In,285
können ,,283
die Frage,282
Millionen $,282
, nicht,276
und ich,275
über die,271
, damit,271
mit den,270
Es gibt,269
Kolleginnen und,268
und Kollegen,268
! Herr,268
, warum,267
Meine Damen,267
und der,265
— Das,265
, eine,263
, so,261
noch einmal,260
glaube ,,256
gar nicht,256
ein bisschen,253
es nicht,253
Sehr geehrte,252
Ich möchte,252
vor allem,252
ist ja,252
ich ,,249
werden wir,246
. Also,245
wissen ,,244
zum Beispiel,243
Ich habe,242
an die,241
, bei,238
in dieser,235
und nicht,234
, von,233
heißt ,,232
wenn man,231
von den,229
gibt ,,229
das nicht,228
und es,228
. Herr,228
wir haben,227
man sich,226
ist auch,226
! Meine,225
Frau Präsidentin,224
, für,223
: Wir,221
auch nicht,221
immer wieder,220
die wir,219
ist nicht,218
nicht .,217
möchte ich,217
muss man,217
! Sehr,215
— ich,215
für den,214
ist der,213
: ``,212
, ein,210
, zu,210
wenn wir,210
dass sie,210
was die,209
, also,209
Präsidentin !,208
Es geht,208
zu tun,206
Milliarden $,206
, im,205
, sehr,205
wir das,202
aus dem,202
wenn Sie,201
Das heißt,201
sagen :,200
: Die,197
wenn es,196
! Es,196
nicht so,196
, diese,195
und zwar,195
es gibt,195
. Auch,195
Sie das,194
Frau Ministerin,194
kann .,193
auch noch,192
: Es,190
Und das,190
sich die,189
Minister ,,189
kann man,188
wir in,187
es auch,187
Ich glaube,185
! Wir,184
geht ,,182
. Diese,182
und dann,181
und wir,180
es um,180
, Frau,180
dass der,179
kann ,,178
Herr Kollege,178
auf den,177
müssen ,,176
der Herr,174
in einer,172
so ,,172
war ,,172
wollen ,,171
sein .,171
hier im,170
Herr Bundesminister,169
Danke .,167
müssen .,167
wir auch,167
in dem,166
an den,166
wir nicht,164
es in,164
und in,163
glaube ich,163
machen ,,161
das auch,159
habe ich,158
und da,157
, auf,157
ja ,,157
im Ausschuss,156
auch der,155
die sich,155
es geht,155
die in,154
wie es,153
Frage ,,152
der ÖVP,152
sind die,151
wurde ,,151
sind wir,151
auch ein,149
auch ,,148
an der,148
hat es,148
. Dann,148
auch eine,146
aus der,145
! Und,144
wir hier,144
die Sie,143
Menschen ,,143
, haben,143
noch nicht,143
Wir werden,143
Das war,142
— :,142
dass diese,141
Ich finde,141
'' ,,141
Das sind,140
sehr ,,140
. Man,140
in einem,139
ein paar,139
nicht die,139
wir die,139
auch für,139
. Ein,138
: Das,138
nicht einmal,138
