WORD,RANK,
. Das ist,862
, dass die,640
, dass wir,634
, dass es,585
Damen und Herren,555
. Wir haben,391
, das ist,387
Herr Präsident !,377
, dass das,364
. Es ist,345
, und das,333
, dass Sie,313
und Herren !,291
, dass man,278
. — Danke,276
Kolleginnen und Kollegen,267
Meine Damen und,266
ist , dass,255
Frau Präsidentin !,203
, und ich,196
, dass sie,194
, die wir,194
das , was,192
. Es gibt,192
. Ich möchte,188
. Das heißt,184
, und zwar,181
, was die,177
! Meine Damen,176
— und das,175
Das heißt ,,171
. Ich habe,171
Herr Minister ,,171
. Sie haben,170
, dass der,170
und das ist,168
, und es,165
, wenn man,162
. Und das,162
— Danke .,161
Ich glaube ,,155
, es ist,154
, wenn es,153
. Es geht,152
, aber auch,151
. Ich glaube,150
, die sich,147
, wenn wir,147
. — Das,146
— , dass,145
glaube ich ,,144
, Herr Minister,141
, die in,140
, und die,139
, die Sie,137
! Sehr geehrte,137
, wenn Sie,134
, dass diese,133
, in der,130
, glaube ich,129
, wie es,128
sehr , sehr,128
und Herren ,,128
, und wir,127
Sehr geehrter Herr,127
— Das ist,127
, sondern auch,122
Herr Minister !,121
in den letzten,121
, wir haben,120
! Das ist,119
, Sie haben,118
. Ja ,,118
und Kollegen !,116
— Danke schön,115
Danke schön .,114
geehrte Damen und,114
, was wir,112
, dass sich,111
. Ich finde,108
Präsident ! Herr,107
, weil es,107
, wie wir,106
Das ist ein,106
. Das sind,105
, aber das,105
. Wir werden,105
, wo es,104
Sehr geehrte Damen,104
, was Sie,103
sein , dass,103
— das ist,102
. Das war,102
, Herr Kollege,102
, weil sie,100
ich glaube ,,100
, ist ,,98
so , dass,97
, in dem,97
, und da,96
Menschen , die,96
Das ist eine,95
. Ich bin,95
wissen , dass,95
, weil die,95
, die die,94
, es gibt,94
nach wie vor,94
Sie , Herr,93
, dann ist,93
, aber es,92
die Frage ,,90
meine Damen und,90
, um die,90
im Zusammenhang mit,89
. Wenn man,89
. Und ich,88
ist . Das,87
. Wenn Sie,87
, meine Damen,86
Der Nationalrat wolle,86
, weil wir,85
Nationalrat wolle beschließen,85
, und dann,85
, wie Sie,84
. Wenn wir,84
dafür , dass,83
, Kolleginnen und,83
Frau Ministerin ,,83
Hohes Haus !,82
Präsident ! Meine,82
. Ich sage,82
wolle beschließen :,82
? — Das,82
, nämlich die,81
! Herr Minister,80
, die es,80
— Ja ,,79
! Hohes Haus,78
Präsident ! Sehr,78
, wenn sie,78
und so weiter,77
. Ich kann,77
, es geht,77
in Österreich ,,76
ist , und,76
auf der Regierungsbank,76
im Bereich der,76
, für die,76
nicht , dass,75
auch in der,75
! Sehr geehrter,75
. Wir wissen,75
in diesem Zusammenhang,75
Das ist die,75
zu tun ,,74
haben , dass,74
. Meine Damen,74
Es geht um,73
. Das kann,73
Herr Bundesminister ,,73
auch , dass,72
, das sind,72
, dass er,72
Bürgerinnen und Bürger,72
, wie das,71
, mit dem,71
haben , die,71
Entschließungsantrag der Abgeordneten,71
, aber ich,70
, dass ein,70
Da gibt es,70
— , aber,70
— , und,69
geht es um,69
. Wir brauchen,69
. Herr Minister,69
. Wir sind,68
, dass ich,68
. Und es,68
Herr Bundesminister !,68
, wo wir,68
. Und wenn,68
und es ist,67
Und das ist,67
: Ja ,,67
Sehr geehrte Frau,66
das ist ein,66
, dass in,66
! Es ist,66
, vor allem,66
. Wir wollen,66
in diesem Land,65
Ich finde ,,65
, wie die,65
dem , was,64
der anderen Seite,64
ist . Ich,64
und Kollegen betreffend,64
Frau Ministerin !,64
Das ist der,63
es um die,63
von der ÖVP,63
wird aufgefordert ,,63
, Herr Bundesminister,63
Das ist doch,63
. Ich weiß,63
, wo die,62
haben , und,62
: Entschließungsantrag der,62
wird . Das,62
hat , dass,61
. Aber das,61
worden ist ,,61
. Da gibt,61
haben . Das,61
in den nächsten,61
, wenn die,61
der Regierungsbank !,61
, die nicht,61
darum , dass,61
das ist eine,60
— , die,60
— und ich,60
, weil Sie,60
, auch wenn,60
: `` Die,60
sagen , dass,59
, so wie,59
. In diesem,59
, Frau Ministerin,59
Das ist ja,59
, was das,59
zu machen ,,58
, dass dieses,58
werden . Das,58
. Es wird,58
, und auch,58
der Europäischen Union,58
geehrter Herr Präsident,58
. — Ja,57
. Und da,57
, bei der,57
, denn das,57
, nämlich dass,57
in diesem Bereich,57
. Das wäre,57
Herren auf der,57
in Bezug auf,56
, aber die,56
, die von,56
der Meinung ,,56
. Aber es,56
, denn es,56
. Das wird,56
das ist auch,56
Da geht es,56
, was in,56
auf der anderen,55
, das wir,55
das ist ja,55
, nicht nur,55
Art und Weise,55
Ich denke ,,55
in diesem Haus,55
Werte Kolleginnen und,55
: Es ist,54
. Es war,54
zu sagen ,,54
Das ist das,54
, die hier,54
SPÖ und ÖVP,54
das ist die,53
, dass auch,53
! — ,,53
, sondern es,53
Präsidentin ! Herr,53
Sie sagen ,,53
! Ich möchte,53
hier im Haus,53
, aber wir,52
, und Sie,52
, die das,52
aus meiner Sicht,52
Vielen Dank .,52
. Das hat,52
im Sinne der,52
! Herr Bundesminister,52
der Hypo Alpe-Adria,52
ist , die,52
. Da geht,52
, wo man,52
ist . Es,51
. Es hat,51
die Möglichkeit ,,51
folgenden Antrag ein,51
. Und jetzt,51
, die ich,51
: Wir haben,51
es geht um,51
